Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC
romandanylyk/PageIndicatorView;https://github.com/romandanylyk/PageIndicatorView;Java;20/08/2016 19:25;4;4422;14;135083058;151930596;14653945;3760165;4.0;1.0;6.0
btraceio/btrace;https://github.com/btraceio/btrace;Java;28/08/2014 18:58;6;4414;26;135151169;152006624;14661361;3760670;4.0;1.0;2.0
huangyanbin/smartTable;https://github.com/huangyanbin/smartTable;Java;08/11/2017 01:11;3;4409;44;135170340;152029289;14664580;3761054;2.0;1.0;3.0
nisrulz/android-tips-tricks;https://github.com/nisrulz/android-tips-tricks;Java;25/08/2016 20:27;4;4395;0;135171981;152031928;14665229;3761436;1.0;1.0;6.0
HotBitmapGG/bilibili-android-client;https://github.com/HotBitmapGG/bilibili-android-client;Java;01/06/2016 04:36;4;4382;1;135212333;152081146;14673841;3761816;3.0;1.0;6.0
OpenTSDB/opentsdb;https://github.com/OpenTSDB/opentsdb;Java;27/08/2010 02:05;10;4379;25;135360215;152249806;14693378;3763453;4.0;1.0;6.0
pili-engineering/PLDroidPlayer;https://github.com/pili-engineering/PLDroidPlayer;Java;02/06/2015 04:41;5;4377;37;135364419;152255452;14694367;3763920;1.0;1.0;2.5
mcxiaoke/android-volley;https://github.com/mcxiaoke/android-volley;Java;21/05/2013 05:35;7;4373;0;135373498;152266241;14695833;3764224;3.0;1.0;4.0
jgilfelt/chuck;https://github.com/jgilfelt/chuck;Java;07/02/2017 23:51;4;4367;5;135377612;152271233;14696485;3764473;4.0;1.0;3.0
Meituan-Dianping/Leaf;https://github.com/Meituan-Dianping/Leaf;Java;11/12/2018 07:41;2;4355;0;135380298;152274594;14696930;3764718;1.5;1.0;3.0
alibaba/dexposed;https://github.com/alibaba/dexposed;Java;30/06/2015 02:59;5;4348;0;135387693;152283584;14698106;3765193;2.0;1.0;3.0
castorflex/SmoothProgressBar;https://github.com/castorflex/SmoothProgressBar;Java;27/11/2013 20:32;7;4342;9;135391298;152288145;14698839;3765447;3.0;1.0;3.0
spring-projects/spring-security-oauth;https://github.com/spring-projects/spring-security-oauth;Java;26/07/2011 18:08;9;4339;0;135466394;152375813;14711037;3765951;4.0;1.0;2.0
tomakehurst/wiremock;https://github.com/tomakehurst/wiremock;Java;09/10/2011 20:27;9;4335;1;135554279;152480130;14726647;3767846;4.0;1.0;3.0
MindorksOpenSource/android-mvp-architecture;https://github.com/MindorksOpenSource/android-mvp-architecture;Java;27/01/2017 08:39;4;4303;0;135564996;152493244;14728781;3768161;3.0;1.0;3.5
doocs/jvm;https://github.com/doocs/jvm;Java;23/06/2018 01:12;2;4299;0;135566393;152495553;14729382;3768479;nan;nan;nan
alibaba/COLA;https://github.com/alibaba/COLA;Java;06/02/2018 13:46;3;4294;3;135582719;152515567;14732209;3769351;3.0;1.0;1.0
spring-cloud/spring-cloud-netflix;https://github.com/spring-cloud/spring-cloud-netflix;Java;11/07/2014 15:46;6;4290;2;135610982;152547763;14735782;3769900;6.0;1.0;2.0
aporter/coursera-android;https://github.com/aporter/coursera-android;Java;05/01/2014 09:55;7;4285;0;135706333;152669363;14754913;3780028;4.0;1.0;2.0
jOOQ/jOOQ;https://github.com/jOOQ/jOOQ;Java;17/04/2011 10:43;9;4280;0;137824439;154891134;14858233;3796712;7.0;1.0;6.0
orientechnologies/orientdb;https://github.com/orientechnologies/orientdb;Java;09/12/2012 20:33;8;4275;164;138760631;155955270;14983214;3798628;5.0;1.0;6.0
vavr-io/vavr;https://github.com/vavr-io/vavr;Java;30/01/2014 14:07;7;4273;16;138869108;156082081;14999218;3801886;5.0;1.0;4.0
quartz-scheduler/quartz;https://github.com/quartz-scheduler/quartz;Java;07/03/2016 14:05;5;4273;2;138961978;156192338;15015834;3803340;3.0;1.0;4.0
razerdp/BasePopup;https://github.com/razerdp/BasePopup;Java;15/01/2016 03:31;5;4264;14;138997584;156234238;15021833;3803884;3.0;1.0;3.0
AriaLyy/Aria;https://github.com/AriaLyy/Aria;Java;19/02/2016 02:16;5;4258;26;139078547;156324673;15030758;3804978;4.0;1.0;6.0
YunaiV/onemall;https://github.com/YunaiV/onemall;Java;02/05/2019 16:06;1;4257;0;139137630;156394374;15040739;3806117;4.0;1.0;0.0
jankotek/mapdb;https://github.com/jankotek/mapdb;Java;17/08/2012 15:28;8;4254;0;139163803;156425199;15045082;3806557;2.0;1.0;4.0
hazelcast/hazelcast;https://github.com/hazelcast/hazelcast;Java;21/03/2012 12:25;8;4248;43;140357197;157821368;15243521;3815036;4.0;1.0;4.0
gephi/gephi;https://github.com/gephi/gephi;Java;22/10/2011 03:14;9;4237;12;140650438;158150421;15276828;3816608;3.0;1.0;4.0
Ashok-Varma/BottomNavigation;https://github.com/Ashok-Varma/BottomNavigation;Java;19/03/2016 19:19;4;4232;16;140655573;158156816;15277793;3816922;5.5;1.0;6.0
chillzhuang/SpringBlade;https://github.com/chillzhuang/SpringBlade;Java;30/01/2019 09:02;2;4229;0;140672147;158175980;15279949;3817376;5.0;1.0;1.0
puniverse/quasar;https://github.com/puniverse/quasar;Java;27/03/2013 14:51;7;4226;18;140913148;158435155;15297447;3822058;2.0;1.0;2.0
twowaits/SDE-Interview-Questions;https://github.com/twowaits/SDE-Interview-Questions;Java;25/10/2017 11:08;3;4224;1;140915754;158438725;15298163;3822525;0.0;1.0;1.0
alibaba/jvm-sandbox;https://github.com/alibaba/jvm-sandbox;Java;03/08/2017 02:55;3;4203;12;140942760;158471432;15303424;3823033;2.0;1.0;2.0
techGay/v9porn;https://github.com/techGay/v9porn;Java;12/04/2018 14:32;2;4203;8;140977183;158512490;15309666;3823529;3.0;1.0;2.0
firebase/FirebaseUI-Android;https://github.com/firebase/FirebaseUI-Android;Java;09/07/2015 17:31;5;4196;61;141025789;158568322;15316343;3825637;4.0;1.0;2.5
bingoogolapple/BGARefreshLayout-Android;https://github.com/bingoogolapple/BGARefreshLayout-Android;Java;28/05/2015 16:17;5;4176;4;141034212;158578378;15317749;3825889;3.0;1.0;2.0
jeasonlzy/ImagePicker;https://github.com/jeasonlzy/ImagePicker;Java;27/01/2016 17:05;5;4168;5;141040763;158586180;15318745;3826171;3.0;1.0;3.0
sofastack/sofa-boot;https://github.com/sofastack/sofa-boot;Java;02/04/2018 08:28;2;4163;43;141095782;158649039;15326250;3826570;4.0;1.0;2.0
hustcc/JS-Sorting-Algorithm;https://github.com/hustcc/JS-Sorting-Algorithm;Java;19/01/2017 11:36;4;4157;0;141098725;158652956;15326943;3826863;3.0;1.0;7.5
Tencent/GT;https://github.com/Tencent/GT;Java;13/01/2016 10:29;5;4153;3;141323475;158918453;15364939;3830914;2.0;1.0;3.0
lingochamp/okdownload;https://github.com/lingochamp/okdownload;Java;17/12/2017 08:21;3;4143;8;141360690;158963078;15371845;3831690;4.0;1.0;5.0
pedrovgs/AndroidWiFiADB;https://github.com/pedrovgs/AndroidWiFiADB;Java;18/10/2015 21:58;5;4122;8;141363185;158966298;15372362;3831906;2.0;1.0;2.0
raphw/byte-buddy;https://github.com/raphw/byte-buddy;Java;25/11/2013 19:38;7;4121;214;141606483;159244732;15406962;3833243;4.0;1.0;3.0
confluentinc/ksql;https://github.com/confluentinc/ksql;Java;27/09/2016 21:30;4;4118;8;143426696;161138172;15474911;3837278;5.0;1.0;5.0
grantland/android-autofittextview;https://github.com/grantland/android-autofittextview;Java;14/02/2011 06:00;10;4115;1;143428609;161140679;15475273;3837537;4.0;1.0;3.0
auth0/java-jwt;https://github.com/auth0/java-jwt;Java;07/03/2014 15:06;7;4102;23;143440672;161155613;15477790;3837977;4.0;1.0;8.5
Jasonchenlijian/FastBle;https://github.com/Jasonchenlijian/FastBle;Java;23/08/2016 02:06;4;4086;8;143447350;161164117;15479347;3838342;2.0;1.0;2.0
awangdev/LintCode;https://github.com/awangdev/LintCode;Java;25/04/2015 19:14;5;4082;0;143594717;161377475;15535175;3849988;1.0;1.0;7.0
robinhood/ticker;https://github.com/robinhood/ticker;Java;15/07/2016 21:37;4;4079;9;143598014;161381650;15535826;3850251;4.0;1.0;4.0
yasserg/crawler4j;https://github.com/yasserg/crawler4j;Java;31/12/2011 22:49;9;4075;3;143621047;161408707;15539483;3850647;4.0;1.0;6.0
Nepxion/Discovery;https://github.com/Nepxion/Discovery;Java;21/06/2018 16:16;2;4067;98;143655137;161451544;15546753;3852257;3.0;1.0;3.0
apache/groovy;https://github.com/apache/groovy;Java;16/04/2015 07:00;5;4059;0;144180858;162141309;15632100;3934143;3.0;1.0;4.0
hugeterry/CoordinatorTabLayout;https://github.com/hugeterry/CoordinatorTabLayout;Java;27/01/2017 13:40;4;4053;0;144182992;162144139;15632512;3934440;3.0;1.0;3.0
Yalantis/Phoenix;https://github.com/Yalantis/Phoenix;Java;12/01/2015 14:11;6;4045;1;144184972;162146856;15632983;3934725;2.5;1.0;1.0
makovkastar/FloatingActionButton;https://github.com/makovkastar/FloatingActionButton;Java;22/07/2014 13:29;6;4041;0;144186992;162149523;15633388;3934985;3.0;2.0;3.0
baoyachi/StepView;https://github.com/baoyachi/StepView;Java;22/06/2016 03:52;4;4030;13;144190275;162153666;15633964;3935285;7.0;2.0;2.0
metersphere/metersphere;https://github.com/metersphere/metersphere;Java;03/02/2020 02:06;1;4015;43;144400059;162392098;15660038;3941831;3.0;1.0;3.0
ChadCSong/ShineButton;https://github.com/ChadCSong/ShineButton;Java;05/07/2016 06:32;4;4015;2;144402395;162395159;15660491;3942118;2.0;1.0;1.0
Jacksgong/JKeyboardPanelSwitch;https://github.com/Jacksgong/JKeyboardPanelSwitch;Java;01/07/2015 17:42;5;4011;14;144407601;162401724;15661543;3942554;3.0;1.0;3.0
metersphere/metersphere;https://github.com/metersphere/metersphere;Java;03/02/2020 02:06;1;4008;43;24771976;27932171;2525443;903574;3.0;1.0;3.0
rubensousa/ViewPagerCards;https://github.com/rubensousa/ViewPagerCards;Java;20/08/2016 15:24;4;3998;0;24773345;27934081;2525755;903816;6.0;2.0;3.0
reactive-streams/reactive-streams-jvm;https://github.com/reactive-streams/reactive-streams-jvm;Java;28/02/2014 13:16;7;3972;0;24786769;27950469;2528404;904381;3.0;1.0;2.0
bingoogolapple/BGABanner-Android;https://github.com/bingoogolapple/BGABanner-Android;Java;25/10/2014 17:15;6;3972;0;24790842;27955506;2529116;904654;3.0;2.0;3.0
roncoo/roncoo-pay;https://github.com/roncoo/roncoo-pay;Java;21/07/2016 02:46;4;3972;0;25246722;28468516;2584825;911730;3.0;1.0;7.0
CellularPrivacy/Android-IMSI-Catcher-Detector;https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector;Java;23/11/2013 10:04;7;3969;48;25275948;28502307;2588944;912260;3.0;1.0;2.0
rengwuxian/RxJavaSamples;https://github.com/rengwuxian/RxJavaSamples;Java;24/03/2016 13:08;4;3967;3;25278169;28505199;2589386;912508;3.0;1.0;1.0
dinuscxj/LoadingDrawable;https://github.com/dinuscxj/LoadingDrawable;Java;16/04/2016 07:33;4;3963;0;25283720;28512374;2590755;912775;4.0;1.0;2.0
apache/hbase;https://github.com/apache/hbase;Java;23/05/2014 07:00;6;3959;4;26476212;29876115;2745505;933272;5.0;1.0;5.0
alipay/SoloPi;https://github.com/alipay/SoloPi;Java;14/03/2019 15:32;2;3955;6;26558441;29970163;2756736;934149;2.0;1.0;2.0
alibaba/jstorm;https://github.com/alibaba/jstorm;Java;03/09/2013 03:53;7;3953;22;26862507;30331027;2809248;939349;4.0;1.0;5.0
BoltsFramework/Bolts-Android;https://github.com/BoltsFramework/Bolts-Android;Java;30/01/2014 04:58;7;3946;11;26869011;30338742;2810218;939626;1.0;1.0;1.0
ElderDrivers/EdXposed;https://github.com/ElderDrivers/EdXposed;Java;18/01/2019 16:18;2;3943;27;27008574;30500430;2830224;942982;4.0;1.0;7.0
deathmarine/Luyten;https://github.com/deathmarine/Luyten;Java;11/07/2013 10:57;7;3943;17;27015052;30507967;2831100;943198;1.0;1.0;3.0
frohoff/ysoserial;https://github.com/frohoff/ysoserial;Java;28/01/2015 07:13;6;3940;0;27021421;30515974;2832523;943412;3.0;1.0;3.0
airbnb/DeepLinkDispatch;https://github.com/airbnb/DeepLinkDispatch;Java;11/06/2015 21:16;5;3938;10;27036681;30534700;2835698;943721;3.0;1.0;4.0
alibaba/Tangram-Android;https://github.com/alibaba/Tangram-Android;Java;29/03/2017 13:29;3;3936;38;27076280;30581148;2842169;944178;3.0;1.0;3.0
baidu/uid-generator;https://github.com/baidu/uid-generator;Java;27/03/2017 04:03;3;3935;0;27079522;30585204;2842778;944395;1.0;1.0;6.0
Meituan-Dianping/Robust;https://github.com/Meituan-Dianping/Robust;Java;14/03/2017 10:14;4;3933;13;27087221;30594394;2843963;944727;2.0;1.0;6.0
qstumn/BadgeView;https://github.com/qstumn/BadgeView;Java;08/02/2017 02:01;4;3919;5;27090120;30598002;2844422;944990;2.0;1.0;2.0
JoanZapata/android-iconify;https://github.com/JoanZapata/android-iconify;Java;12/06/2013 11:42;7;3919;0;27097745;30606425;2845008;945224;3.0;1.0;3.0
2227324689/gpmall;https://github.com/2227324689/gpmall;Java;18/07/2019 14:09;1;3917;0;27167045;30681297;2850080;946136;3.0;1.0;2.0
cglib/cglib;https://github.com/cglib/cglib;Java;29/03/2014 13:48;6;3911;15;27187828;30705367;2853181;946395;1.0;1.0;2.0
Netflix/ribbon;https://github.com/Netflix/ribbon;Java;15/01/2013 01:08;8;3906;40;27219902;30743083;2858565;946758;2.0;1.0;2.0
codingapi/tx-lcn;https://github.com/codingapi/tx-lcn;Java;11/11/2017 03:34;3;3905;14;27234450;30760595;2861326;947039;4.0;1.0;2.0
spring-projects/spring-data-examples;https://github.com/spring-projects/spring-data-examples;Java;30/01/2014 15:42;7;3903;0;27374111;30948464;2899003;960398;2.0;1.0;1.0
flowable/flowable-engine;https://github.com/flowable/flowable-engine;Java;13/10/2016 07:21;4;3889;17;29586026;33517551;3248338;986248;6.0;1.0;5.0
plantuml/plantuml;https://github.com/plantuml/plantuml;Java;04/11/2010 15:55;10;3886;0;29921463;33895578;3290635;986982;5.0;1.0;5.0
JanusGraph/janusgraph;https://github.com/JanusGraph/janusgraph;Java;26/12/2016 13:26;4;3877;18;30079103;34088402;3318890;994658;4.0;1.0;5.0
cjlin1/libsvm;https://github.com/cjlin1/libsvm;Java;10/09/2013 14:32;7;3874;0;30096477;34108949;3321426;995258;1.5;1.0;1.0
LawnchairLauncher/Lawnchair;https://github.com/LawnchairLauncher/Lawnchair;Java;03/03/2017 13:12;4;3874;22;30341133;34384344;3351463;996379;4.0;1.0;5.0
bitcoinj/bitcoinj;https://github.com/bitcoinj/bitcoinj;Java;19/11/2013 04:33;7;3870;1;30460228;34515372;3363116;997182;3.0;1.0;3.0
ongakuer/CircleIndicator;https://github.com/ongakuer/CircleIndicator;Java;30/07/2014 14:02;6;3864;7;30463939;34520040;3363780;997509;5.0;2.0;3.0
aurelhubert/ahbottomnavigation;https://github.com/aurelhubert/ahbottomnavigation;Java;17/03/2016 12:17;4;3862;14;30468374;34525608;3364599;997865;2.0;1.0;2.0
lcodecorex/TwinklingRefreshLayout;https://github.com/lcodecorex/TwinklingRefreshLayout;Java;02/03/2016 12:11;5;3860;0;30477804;34537045;3366297;998193;2.0;1.0;2.0
javagrowing/JGrowing;https://github.com/javagrowing/JGrowing;Java;26/02/2019 01:55;2;3858;0;30484136;34546402;3368649;998885;1.0;1.0;2.0
roboguice/roboguice;https://github.com/roboguice/roboguice;Java;12/08/2012 20:37;8;3826;0;30679387;34763988;3390595;1000359;3.0;1.0;1.0
ThirtyDegreesRay/OpenHub;https://github.com/ThirtyDegreesRay/OpenHub;Java;11/07/2017 13:29;3;3825;30;30729088;34822713;3399343;1001176;4.0;1.0;3.0
lettuce-io/lettuce-core;https://github.com/lettuce-io/lettuce-core;Java;10/05/2014 13:08;6;3818;81;30889971;35019352;3434775;1003081;4.0;1.0;5.0
hansonwang99/Spring-Boot-In-Action;https://github.com/hansonwang99/Spring-Boot-In-Action;Java;28/01/2019 12:56;2;3818;0;30900787;35033412;3437657;1003483;3.0;1.0;2.0
google/google-java-format;https://github.com/google/google-java-format;Java;11/05/2015 20:38;5;3817;11;30931535;35067815;3440920;1003815;3.0;1.0;5.0
xcltapestry/XCL-Charts;https://github.com/xcltapestry/XCL-Charts;Java;09/06/2014 15:44;6;3807;0;31183457;35346242;3467182;1004135;3.0;1.0;7.0
Manabu-GT/ExpandableTextView;https://github.com/Manabu-GT/ExpandableTextView;Java;17/05/2014 19:40;6;3805;4;31185136;35348533;3467546;1004393;4.0;1.0;4.0
stleary/JSON-java;https://github.com/stleary/JSON-java;Java;21/12/2010 17:46;10;3801;13;31204650;35371046;3469562;1005440;1.0;1.0;6.0
Exrick/xpay;https://github.com/Exrick/xpay;Java;12/12/2017 16:11;3;3797;0;31256815;35431258;3477323;1006635;5.0;1.0;8.0
zuihou/lamp-cloud;https://github.com/zuihou/lamp-cloud;Java;17/01/2018 02:51;3;3790;0;31300780;35482575;3482985;1008936;8.0;1.0;1.0
zhanglei-workspace/shopping-management-system;https://github.com/zhanglei-workspace/shopping-management-system;Java;16/11/2015 12:53;5;3778;0;31326174;35509682;3484416;1010898;2.5;1.0;6.5
iNPUTmice/Conversations;https://github.com/iNPUTmice/Conversations;Java;24/01/2014 01:07;7;3777;93;31440678;35635160;3494874;1011464;3.0;1.0;5.0
youtube/api-samples;https://github.com/youtube/api-samples;Java;09/12/2013 18:41;7;3777;0;31458312;35657265;3497927;1012849;7.0;1.0;6.0
objectbox/objectbox-java;https://github.com/objectbox/objectbox-java;Java;24/01/2017 10:29;4;3767;23;31481376;35684495;3501822;1013393;4.0;1.0;4.0
MiguelCatalan/MaterialSearchView;https://github.com/MiguelCatalan/MaterialSearchView;Java;14/09/2015 17:13;5;3758;6;31484873;35688894;3502484;1013658;2.0;1.0;3.0
bluelinelabs/Conductor;https://github.com/bluelinelabs/Conductor;Java;16/03/2016 18:42;4;3755;19;31499751;35707296;3505726;1013985;4.0;1.0;5.0
orhanobut/hawk;https://github.com/orhanobut/hawk;Java;19/02/2015 22:25;6;3755;22;31502995;35711569;3506514;1014238;2.0;1.0;5.5
yhaolpz/FloatWindow;https://github.com/yhaolpz/FloatWindow;Java;14/11/2017 14:33;3;3744;9;31505846;35715317;3507164;1014499;2.0;1.0;3.5
apache/ignite;https://github.com/apache/ignite;Java;19/02/2015 08:00;6;3727;0;33983894;38739265;4030066;1044255;4.0;1.0;3.0
phishman3579/java-algorithms-implementation;https://github.com/phishman3579/java-algorithms-implementation;Java;20/11/2013 03:30;7;3715;0;34016460;38777222;4035252;1044476;3.0;1.0;8.0
yanzhenjie/NoHttp;https://github.com/yanzhenjie/NoHttp;Java;29/07/2015 06:11;5;3709;0;34033714;38797440;4037984;1044890;3.0;1.0;4.0
natario1/CameraView;https://github.com/natario1/CameraView;Java;18/07/2017 09:30;3;3700;40;34068913;38838711;4043565;1046146;3.0;1.0;2.0
Piasy/BigImageViewer;https://github.com/Piasy/BigImageViewer;Java;06/11/2016 09:55;4;3696;0;34075357;38846532;4044622;1046497;3.0;1.0;2.0
timehop/sticky-headers-recyclerview;https://github.com/timehop/sticky-headers-recyclerview;Java;03/10/2014 01:57;6;3684;0;34078080;38849918;4045042;1046752;2.0;1.0;2.0
mapstruct/mapstruct;https://github.com/mapstruct/mapstruct;Java;28/05/2012 12:42;8;3684;19;34212923;39012502;4072445;1048260;2.0;1.0;2.0
luckybilly/CC;https://github.com/luckybilly/CC;Java;23/11/2017 16:26;3;3679;0;34223188;39024692;4073926;1048761;4.0;1.0;3.0
Freeyourgadget/Gadgetbridge;https://github.com/Freeyourgadget/Gadgetbridge;Java;05/01/2015 23:19;6;3676;0;34398304;39226563;4100137;1049668;4.0;1.0;4.0
alibaba/transmittable-thread-local;https://github.com/alibaba/transmittable-thread-local;Java;13/10/2013 08:48;7;3662;43;34412374;39244066;4102978;1050597;4.0;1.0;8.0
oldmanpushcart/greys-anatomy;https://github.com/oldmanpushcart/greys-anatomy;Java;21/11/2012 19:39;8;3655;0;34427538;39262967;4106354;1050957;3.0;1.0;3.0
apache/camel;https://github.com/apache/camel;Java;21/05/2009 00:25;11;3653;0;37406913;42697097;4543147;1072584;4.0;1.0;2.0
microsoft/malmo;https://github.com/microsoft/malmo;Java;17/05/2016 14:58;4;3650;21;37471110;42781344;4553434;1082900;5.0;2.0;8.0
CalebFenton/simplify;https://github.com/CalebFenton/simplify;Java;16/01/2014 05:14;7;3629;9;37529370;42851295;4563299;1084885;7.0;1.0;5.0
zzhoujay/RichText;https://github.com/zzhoujay/RichText;Java;21/07/2015 09:36;5;3627;0;37536577;42860356;4564765;1085288;2.0;1.0;2.0
apache/hive;https://github.com/apache/hive;Java;21/05/2009 02:31;11;3627;0;42810359;48700608;5024205;1217730;4.0;1.0;6.0
brianway/java-learning;https://github.com/brianway/java-learning;Java;09/02/2016 05:20;5;3622;0;42830571;48725189;5028249;1218176;1.0;1.0;2.0
lzyzsd/CircleProgress;https://github.com/lzyzsd/CircleProgress;Java;30/10/2014 16:14;6;3616;0;42833553;48729001;5028818;1218453;6.0;2.0;4.0
rockerhieu/emojicon;https://github.com/rockerhieu/emojicon;Java;18/01/2014 12:32;7;3614;2;42839493;48735749;5029401;1218691;4.0;1.0;3.0
amirzaidi/Launcher3;https://github.com/amirzaidi/Launcher3;Java;30/05/2017 12:53;3;3611;22;42940072;48849917;5042609;1219314;3.0;1.0;3.0
ZHENFENG13/spring-boot-projects;https://github.com/ZHENFENG13/spring-boot-projects;Java;01/04/2017 01:50;3;3609;0;43242223;49217581;5107593;1224932;3.0;1.0;4.0
databricks/learning-spark;https://github.com/databricks/learning-spark;Java;16/06/2014 04:47;6;3606;0;43248026;49224553;5108327;1225374;2.0;1.0;1.0
nytimes/Store;https://github.com/nytimes/Store;Java;29/11/2016 20:17;4;3602;0;43265831;49246405;5112083;1225894;5.0;1.0;3.0
javaparser/javaparser;https://github.com/javaparser/javaparser;Java;30/10/2011 14:03;9;3601;23;43557510;49576096;5149533;1227783;6.0;1.0;5.0
dreamhead/moco;https://github.com/dreamhead/moco;Java;18/10/2012 09:09;8;3600;0;43585656;49610930;5155706;1228473;5.0;1.0;3.0
yangfuhai/ASimpleCache;https://github.com/yangfuhai/ASimpleCache;Java;28/07/2013 13:50;7;3598;0;43588995;49614941;5156166;1228690;2.0;1.0;5.0
ronmamo/reflections;https://github.com/ronmamo/reflections;Java;16/04/2013 16:19;7;3590;0;43594936;49622093;5157193;1228980;1.0;1.0;0.0
johncarl81/parceler;https://github.com/johncarl81/parceler;Java;03/07/2013 02:53;7;3589;0;43610249;49640874;5160430;1229226;3.0;1.0;2.0
azkaban/azkaban;https://github.com/azkaban/azkaban;Java;18/10/2012 01:34;8;3589;47;43823293;49887345;5191800;1232417;4.0;1.0;6.0
chewiebug/GCViewer;https://github.com/chewiebug/GCViewer;Java;23/10/2011 09:01;9;3587;5;43950632;50023425;5200265;1233528;4.0;1.0;6.0
litesuits/android-common;https://github.com/litesuits/android-common;Java;29/05/2014 08:08;6;3587;0;43963665;50038094;5201662;1233881;2.0;1.0;8.0
ryanhoo/StylishMusicPlayer;https://github.com/ryanhoo/StylishMusicPlayer;Java;13/09/2016 14:38;4;3580;0;43973906;50050259;5203353;1234158;3.0;1.0;3.0
rstudio/rstudio;https://github.com/rstudio/rstudio;Java;07/12/2010 19:10;10;3580;0;45022176;51346354;5360582;1370211;3.0;1.0;2.0
dromara/soul;https://github.com/dromara/soul;Java;11/07/2018 08:17;2;3571;1;45113952;51452650;5373002;1372705;4.0;1.0;2.0
bjmashibing/InternetArchitect;https://github.com/bjmashibing/InternetArchitect;Java;19/10/2019 16:32;1;3546;0;45631577;52069917;5465383;1404377;3.0;1.0;3.0
dongjunkun/DropDownMenu;https://github.com/dongjunkun/DropDownMenu;Java;23/06/2015 07:43;5;3544;2;45633286;52072162;5465670;1404651;3.0;1.0;2.0
brianfrankcooper/YCSB;https://github.com/brianfrankcooper/YCSB;Java;19/04/2010 20:52;10;3541;55;45677930;52126237;5473052;1406822;3.0;1.0;10.0
luontola/retrolambda;https://github.com/luontola/retrolambda;Java;20/07/2013 07:25;7;3541;0;45686772;52137163;5474882;1407151;1.0;1.0;1.0
tyrantgit/ExplosionField;https://github.com/tyrantgit/ExplosionField;Java;23/09/2015 11:34;5;3540;0;45687861;52138716;5475098;1407409;2.0;1.5;2.5
baoyongzhang/SwipeMenuListView;https://github.com/baoyongzhang/SwipeMenuListView;Java;24/08/2014 15:40;6;3533;2;45690332;52141901;5475553;1407678;2.0;1.0;2.0
kiegroup/drools;https://github.com/kiegroup/drools;Java;18/02/2011 08:37;10;3530;0;46942452;53588173;5668814;1409507;4.0;1.0;5.0
pqpo/SmartCropper;https://github.com/pqpo/SmartCropper;Java;03/08/2017 11:08;3;3528;13;47023672;53691362;5684529;1416862;3.0;1.0;4.0
JZ-Darkal/AndroidHttpCapture;https://github.com/JZ-Darkal/AndroidHttpCapture;Java;15/10/2016 19:48;4;3523;1;47076949;53749154;5688785;1417341;2.5;1.0;4.0
oblac/jodd;https://github.com/oblac/jodd;Java;07/09/2012 20:26;8;3519;37;47138639;53823846;5700423;1419011;3.0;1.0;4.0
willowtreeapps/spruce-android;https://github.com/willowtreeapps/spruce-android;Java;23/02/2017 20:34;4;3512;3;47148379;53835364;5701914;1419362;3.0;1.0;3.0
lsjwzh/RecyclerViewPager;https://github.com/lsjwzh/RecyclerViewPager;Java;17/01/2015 18:30;6;3507;10;47152769;53840781;5702610;1419718;2.0;1.0;2.0
arimorty/floatingsearchview;https://github.com/arimorty/floatingsearchview;Java;22/11/2015 02:38;5;3505;0;47159567;53848955;5703731;1420012;2.0;1.0;2.0
apache/incubator-heron;https://github.com/apache/incubator-heron;Java;25/09/2015 16:09;5;3504;54;47484350;54255947;5757986;1449221;4.0;1.0;4.0
kikoso/android-stackblur;https://github.com/kikoso/android-stackblur;Java;15/08/2013 14:44;7;3504;0;47487786;54260448;5758750;1449533;0.0;1.0;0.0
sunfusheng/MarqueeView;https://github.com/sunfusheng/MarqueeView;Java;01/06/2016 06:50;4;3502;0;47490151;54263456;5759137;1449839;4.0;1.0;2.0
Atmosphere/atmosphere;https://github.com/Atmosphere/atmosphere;Java;30/06/2010 14:26;10;3500;0;47554119;54337804;5769134;1452250;4.0;1.0;4.0
dromara/hmily;https://github.com/dromara/hmily;Java;28/09/2017 06:29;3;3497;0;47615172;54407167;5776992;1452790;4.0;1.0;2.0
aws/aws-sdk-java;https://github.com/aws/aws-sdk-java;Java;22/03/2010 23:34;10;3497;0;77550920;86160344;7548256;1560280;5.0;1.0;8.0
codeestX/GeekNews;https://github.com/codeestX/GeekNews;Java;07/08/2016 14:56;4;3497;0;77568351;86181358;7551589;1560590;2.0;1.0;2.0
getActivity/AndroidProject;https://github.com/getActivity/AndroidProject;Java;23/10/2018 10:30;2;3495;14;77600513;86218895;7556323;1560997;4.0;1.0;3.0
eirslett/frontend-maven-plugin;https://github.com/eirslett/frontend-maven-plugin;Java;30/08/2013 14:44;7;3494;0;77605912;86225638;7557432;1561281;3.0;1.0;4.5
theonedev/onedev;https://github.com/theonedev/onedev;Java;06/11/2018 02:57;2;3493;36;77916540;86592457;7612739;1564973;4.0;1.0;2.0
vespa-engine/vespa;https://github.com/vespa-engine/vespa;Java;03/06/2016 20:54;4;3492;0;80026131;89039057;7892998;1621745;4.0;1.0;5.0
awsdocs/aws-doc-sdk-examples;https://github.com/awsdocs/aws-doc-sdk-examples;Java;18/08/2016 19:06;4;3490;0;80441715;89554476;7956463;1645066;5.0;1.0;4.0
