Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC
wasabeef/richeditor-android;https://github.com/wasabeef/richeditor-android;Java;30/03/2015 16:19;5;5412;0;107900727;122148594;12626904;2905348;2.0;1.0;1.0
knightliao/disconf;https://github.com/knightliao/disconf;Java;30/05/2014 09:39;6;5409;12;107992349;122260279;12645988;2907881;3.0;1.0;4.0
joelittlejohn/jsonschema2pojo;https://github.com/joelittlejohn/jsonschema2pojo;Java;22/06/2013 22:28;7;5406;57;108025147;122300575;12652980;2908766;5.0;1.0;5.0
jgilfelt/SystemBarTint;https://github.com/jgilfelt/SystemBarTint;Java;17/11/2013 12:35;7;5399;3;108027260;122303382;12653414;2909039;7.0;2.0;4.0
li-xiaojun/XPopup;https://github.com/li-xiaojun/XPopup;Java;07/12/2018 06:16;2;5396;118;108041187;122319380;12655210;2909337;3.0;1.0;2.0
yarolegovich/DiscreteScrollView;https://github.com/yarolegovich/DiscreteScrollView;Java;03/03/2017 23:38;4;5384;2;108046445;122326066;12656391;2909621;2.0;1.0;2.0
jpush/aurora-imui;https://github.com/jpush/aurora-imui;Java;13/12/2016 05:24;4;5384;42;108110846;122400620;12665334;2911205;2.5;1.0;3.0
evant/gradle-retrolambda;https://github.com/evant/gradle-retrolambda;Java;05/08/2013 02:09;7;5384;37;108115270;122406115;12666143;2911476;3.0;1.0;2.0
sshahine/JFoenix;https://github.com/sshahine/JFoenix;Java;08/09/2015 14:04;5;5382;0;108155501;122452549;12672067;2912527;4.0;1.0;3.0
evernote/android-job;https://github.com/evernote/android-job;Java;20/08/2015 19:36;5;5377;31;108171788;122472281;12675228;2913078;4.0;1.0;4.0
dm77/barcodescanner;https://github.com/dm77/barcodescanner;Java;24/02/2014 21:14;7;5362;6;108176507;122478038;12676036;2913354;2.0;1.0;2.0
yuanguangxin/LeetCode;https://github.com/yuanguangxin/LeetCode;Java;11/01/2020 01:02;1;5358;0;108181280;122484241;12677057;2913768;1.0;1.0;5.0
k0shk0sh/FastHub;https://github.com/k0shk0sh/FastHub;Java;18/02/2017 17:53;4;5343;63;108319775;122639317;12691417;2915350;6.0;1.0;4.0
febsteam/FEBS-Shiro;https://github.com/febsteam/FEBS-Shiro;Java;20/03/2018 02:17;2;5342;0;108351971;122675504;12695108;2916364;4.5;1.0;3.0
liyifeng1994/ssm;https://github.com/liyifeng1994/ssm;Java;18/06/2016 17:58;4;5329;0;108353301;122677283;12695378;2916554;2.0;1.0;3.0
facebook/facebook-android-sdk;https://github.com/facebook/facebook-android-sdk;Java;10/05/2010 17:17;10;5322;36;108444140;122781678;12707958;2917580;3.0;1.0;3.0
ionic-team/capacitor;https://github.com/ionic-team/capacitor;Java;18/11/2017 21:38;3;5322;49;108472149;122815483;12712829;2919035;3.0;1.0;7.5
lucasr/twoway-view;https://github.com/lucasr/twoway-view;Java;18/01/2013 20:55;8;5279;0;108477170;122821847;12713973;2919275;4.0;1.0;6.0
apache/tomcat;https://github.com/apache/tomcat;Java;01/10/2011 07:00;9;5247;0;109134582;123600159;12822436;2935201;3.0;1.0;5.0
XRecyclerView/XRecyclerView;https://github.com/XRecyclerView/XRecyclerView;Java;18/11/2015 08:14;5;5240;0;109141360;123608277;12823524;2935473;2.0;1.0;2.0
rest-assured/rest-assured;https://github.com/rest-assured/rest-assured;Java;21/10/2010 08:35;10;5239;0;109225309;123704227;12834930;2936719;5.0;1.0;3.0
react-native-svg/react-native-svg;https://github.com/react-native-svg/react-native-svg;Java;17/01/2016 14:29;5;5234;73;109276062;123760770;12839985;2937639;4.0;2.0;6.0
rabbitmq/rabbitmq-tutorials;https://github.com/rabbitmq/rabbitmq-tutorials;Java;21/09/2010 11:41;10;5226;0;109304729;123795884;12845317;2938769;5.0;1.0;3.0
yixia/VitamioBundle;https://github.com/yixia/VitamioBundle;Java;19/10/2012 08:40;8;5217;0;109313707;123806322;12846530;2939097;3.0;1.0;4.0
square/otto;https://github.com/square/otto;Java;27/06/2012 19:06;8;5213;0;109317893;123811462;12847288;2939346;1.0;1.0;1.0
lightbend/config;https://github.com/lightbend/config;Java;06/12/2011 08:02;9;5212;0;109347245;123847352;12852259;2941690;3.0;1.0;5.0
apache/incubator-dolphinscheduler;https://github.com/apache/incubator-dolphinscheduler;Java;01/03/2019 16:39;2;5209;15;109596929;124136749;12888920;2945365;4.0;1.0;5.0
commonsguy/cw-omnibus;https://github.com/commonsguy/cw-omnibus;Java;12/03/2012 14:12;9;5205;36;109923892;124520707;12931315;2961424;3.0;1.0;3.0
robolectric/robolectric;https://github.com/robolectric/robolectric;Java;28/08/2010 00:28;10;5203;71;110144531;124778745;12968227;2963703;4.0;1.0;3.0
mrniko/netty-socketio;https://github.com/mrniko/netty-socketio;Java;12/01/2012 11:43;9;5191;3;110154422;124790693;12970071;2963944;3.0;1.0;4.0
haifengl/smile;https://github.com/haifengl/smile;Java;20/11/2014 16:28;6;5189;22;118591652;133260250;13000454;3003119;5.0;1.0;9.0
amitshekhariitbhu/Fast-Android-Networking;https://github.com/amitshekhariitbhu/Fast-Android-Networking;Java;21/03/2016 18:35;4;5187;8;118615197;133288617;13004895;3003524;2.0;1.0;2.0
apache/zeppelin;https://github.com/apache/zeppelin;Java;25/03/2015 07:00;5;5178;0;119008053;133737692;13055303;3010700;3.0;1.0;5.0
Clans/FloatingActionButton;https://github.com/Clans/FloatingActionButton;Java;21/03/2015 12:36;5;5168;14;119012564;133743278;13056115;3011000;2.0;1.0;2.0
ximsfei/Android-skin-support;https://github.com/ximsfei/Android-skin-support;Java;12/01/2017 15:03;4;5166;0;119046888;133783737;13061690;3012056;5.0;1.0;6.0
Tencent/Shadow;https://github.com/Tencent/Shadow;Java;13/06/2019 10:50;1;5163;1;119097465;133844533;13070475;3013544;3.0;1.0;2.0
cryptomator/cryptomator;https://github.com/cryptomator/cryptomator;Java;02/02/2014 00:43;7;5160;102;119129167;133882864;13075022;3015755;7.0;1.0;4.0
scribejava/scribejava;https://github.com/scribejava/scribejava;Java;05/09/2010 19:11;10;5145;4;119147997;133905695;13078822;3016033;3.0;1.0;2.0
hanks-zyh/HTextView;https://github.com/hanks-zyh/HTextView;Java;19/12/2015 16:34;5;5133;0;119153404;133912758;13080030;3016502;2.0;1.0;3.0
thinkaurelius/titan;https://github.com/thinkaurelius/titan;Java;25/02/2012 22:53;9;5129;0;119492305;134306519;13117648;3036509;4.0;1.0;4.0
Yalantis/Side-Menu.Android;https://github.com/Yalantis/Side-Menu.Android;Java;13/01/2015 11:11;6;5115;2;119493945;134308754;13117998;3036764;2.0;1.0;3.0
google/grafika;https://github.com/google/grafika;Java;19/12/2013 18:36;7;5099;1;119509148;134326338;13120181;3036998;5.0;2.0;9.0
motianhuo/wechat;https://github.com/motianhuo/wechat;Java;25/05/2015 02:33;5;5095;0;119622328;134453557;13133949;3038409;3.0;1.0;3.0
MindorksOpenSource/from-java-to-kotlin;https://github.com/MindorksOpenSource/from-java-to-kotlin;Java;21/05/2017 11:56;3;5068;0;119624775;134457115;13134731;3038720;0.5;1.0;7.0
h6ah4i/android-advancedrecyclerview;https://github.com/h6ah4i/android-advancedrecyclerview;Java;24/01/2015 16:14;6;5066;1;119664170;134504606;13142337;3040056;4.0;2.0;4.0
apache/jmeter;https://github.com/apache/jmeter;Java;26/05/2010 23:38;10;5058;0;120077339;134967694;13185019;3049372;4.0;2.0;7.0
springfox/springfox;https://github.com/springfox/springfox;Java;06/05/2012 06:38;8;5053;12;120216819;135125346;13201157;3050989;3.0;1.0;4.0
frogermcs/InstaMaterial;https://github.com/frogermcs/InstaMaterial;Java;10/11/2014 18:56;6;5036;1;120221560;135131191;13202020;3051255;2.0;1.0;1.0
xxv/android-lifecycle;https://github.com/xxv/android-lifecycle;Java;18/04/2014 14:26;6;5034;0;120231522;135141570;13202257;3051550;7.5;2.0;20.0
wuhaoyu1990/MagicCamera;https://github.com/wuhaoyu1990/MagicCamera;Java;08/01/2016 11:36;5;5010;0;120254839;135169245;13206184;3052022;3.0;1.0;4.0
Alluxio/alluxio;https://github.com/Alluxio/alluxio;Java;21/12/2012 17:43;8;4999;42;120759369;135737840;13261500;3061653;5.0;1.0;6.0
CameraKit/camerakit-android;https://github.com/CameraKit/camerakit-android;Java;27/11/2016 19:29;4;4998;17;120772413;135755189;13264401;3063358;2.0;1.0;2.0
apache/dubbo-spring-boot-project;https://github.com/apache/dubbo-spring-boot-project;Java;18/01/2018 12:10;3;4992;13;120782704;135768153;13266666;3063793;5.0;1.0;2.0
gzu-liyujiang/AndroidPicker;https://github.com/gzu-liyujiang/AndroidPicker;Java;21/10/2015 14:21;5;4991;28;120810402;135797807;13268359;3064129;2.0;1.0;2.0
KeepSafe/TapTargetView;https://github.com/KeepSafe/TapTargetView;Java;11/09/2016 09:07;4;4991;22;120813660;135801905;13268966;3064388;2.0;1.0;3.0
alibaba/UltraViewPager;https://github.com/alibaba/UltraViewPager;Java;29/03/2017 13:31;3;4988;10;120818327;135807725;13269751;3064781;2.0;1.0;3.5
yanzhenjie/SwipeRecyclerView;https://github.com/yanzhenjie/SwipeRecyclerView;Java;03/08/2016 15:43;4;4988;0;120838072;135831046;13273097;3065082;3.0;1.0;3.0
Trinea/android-common;https://github.com/Trinea/android-common;Java;19/06/2012 07:49;8;4982;1;120851169;135845972;13274667;3065938;3.0;1.0;7.0
changmingxie/tcc-transaction;https://github.com/changmingxie/tcc-transaction;Java;05/12/2015 04:27;5;4973;0;120890957;135892575;13281248;3067687;3.0;1.0;4.0
wequick/Small;https://github.com/wequick/Small;Java;27/11/2015 11:37;5;4961;25;120929244;135937390;13286549;3069633;2.0;1.0;1.0
bytedeco/javacv;https://github.com/bytedeco/javacv;Java;21/04/2014 13:50;6;4948;6;120981071;135993303;13290388;3070140;4.0;1.0;9.0
traex/RippleEffect;https://github.com/traex/RippleEffect;Java;14/10/2014 13:32;6;4942;0;120982963;135995806;13290739;3070413;2.0;1.0;1.0
Vedenin/useful-java-links;https://github.com/Vedenin/useful-java-links;Java;13/02/2016 13:14;5;4925;0;121004405;136021413;13294293;3071551;2.0;1.0;2.0
wxiaoqi/Spring-Cloud-Platform;https://github.com/wxiaoqi/Spring-Cloud-Platform;Java;25/05/2017 10:35;3;4916;3;121570092;136731222;13438025;3072036;3.0;1.0;4.0
careercup/ctci;https://github.com/careercup/ctci;Java;21/03/2013 23:01;7;4913;0;121620239;136790362;13445616;3073347;2.0;1.0;7.0
Karumi/Dexter;https://github.com/Karumi/Dexter;Java;17/11/2015 13:14;5;4905;32;121625031;136796239;13446480;3073591;3.0;1.0;3.0
