Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
lcodecorex/TwinklingRefreshLayout;https://github.com/lcodecorex/TwinklingRefreshLayout;Java;02/03/2016 12:11;5;3860;0;30477804;34537045;3366297;998193;2.0;1.0;2.0;12.0
javagrowing/JGrowing;https://github.com/javagrowing/JGrowing;Java;26/02/2019 01:55;2;3858;0;30484136;34546402;3368649;998885;1.0;1.0;2.0;11.0
roboguice/roboguice;https://github.com/roboguice/roboguice;Java;12/08/2012 20:37;8;3826;0;30679387;34763988;3390595;1000359;3.0;1.0;1.0;6.0
ThirtyDegreesRay/OpenHub;https://github.com/ThirtyDegreesRay/OpenHub;Java;11/07/2017 13:29;3;3825;30;30729088;34822713;3399343;1001176;4.0;1.0;3.0;11.0
lettuce-io/lettuce-core;https://github.com/lettuce-io/lettuce-core;Java;10/05/2014 13:08;6;3818;81;30889971;35019352;3434775;1003081;4.0;1.0;5.0;20.0
hansonwang99/Spring-Boot-In-Action;https://github.com/hansonwang99/Spring-Boot-In-Action;Java;28/01/2019 12:56;2;3818;0;30900787;35033412;3437657;1003483;3.0;1.0;2.0;8.5
google/google-java-format;https://github.com/google/google-java-format;Java;11/05/2015 20:38;5;3817;11;30931535;35067815;3440920;1003815;3.0;1.0;5.0;27.0
xcltapestry/XCL-Charts;https://github.com/xcltapestry/XCL-Charts;Java;09/06/2014 15:44;6;3807;0;31183457;35346242;3467182;1004135;3.0;1.0;7.0;38.0
Manabu-GT/ExpandableTextView;https://github.com/Manabu-GT/ExpandableTextView;Java;17/05/2014 19:40;6;3805;4;31185136;35348533;3467546;1004393;4.0;1.0;4.0;15.0
stleary/JSON-java;https://github.com/stleary/JSON-java;Java;21/12/2010 17:46;10;3801;13;31204650;35371046;3469562;1005440;1.0;1.0;6.0;22.0
Exrick/xpay;https://github.com/Exrick/xpay;Java;12/12/2017 16:11;3;3797;0;31256815;35431258;3477323;1006635;5.0;1.0;8.0;37.0
zuihou/lamp-cloud;https://github.com/zuihou/lamp-cloud;Java;17/01/2018 02:51;3;3790;0;31300780;35482575;3482985;1008936;8.0;1.0;1.0;10.0
zhanglei-workspace/shopping-management-system;https://github.com/zhanglei-workspace/shopping-management-system;Java;16/11/2015 12:53;5;3778;0;31326174;35509682;3484416;1010898;2.5;1.0;6.5;34.0
iNPUTmice/Conversations;https://github.com/iNPUTmice/Conversations;Java;24/01/2014 01:07;7;3777;93;31440678;35635160;3494874;1011464;3.0;1.0;5.0;19.0
youtube/api-samples;https://github.com/youtube/api-samples;Java;09/12/2013 18:41;7;3777;0;31458312;35657265;3497927;1012849;7.0;1.0;6.0;51.0
objectbox/objectbox-java;https://github.com/objectbox/objectbox-java;Java;24/01/2017 10:29;4;3767;23;31481376;35684495;3501822;1013393;4.0;1.0;4.0;21.0
MiguelCatalan/MaterialSearchView;https://github.com/MiguelCatalan/MaterialSearchView;Java;14/09/2015 17:13;5;3758;6;31484873;35688894;3502484;1013658;2.0;1.0;3.0;10.0
bluelinelabs/Conductor;https://github.com/bluelinelabs/Conductor;Java;16/03/2016 18:42;4;3755;19;31499751;35707296;3505726;1013985;4.0;1.0;5.0;22.0
orhanobut/hawk;https://github.com/orhanobut/hawk;Java;19/02/2015 22:25;6;3755;22;31502995;35711569;3506514;1014238;2.0;1.0;5.5;16.5
yhaolpz/FloatWindow;https://github.com/yhaolpz/FloatWindow;Java;14/11/2017 14:33;3;3744;9;31505846;35715317;3507164;1014499;2.0;1.0;3.5;13.0
apache/ignite;https://github.com/apache/ignite;Java;19/02/2015 08:00;6;3727;0;33983894;38739265;4030066;1044255;4.0;1.0;3.0;14.0
phishman3579/java-algorithms-implementation;https://github.com/phishman3579/java-algorithms-implementation;Java;20/11/2013 03:30;7;3715;0;34016460;38777222;4035252;1044476;3.0;1.0;8.0;31.0
yanzhenjie/NoHttp;https://github.com/yanzhenjie/NoHttp;Java;29/07/2015 06:11;5;3709;0;34033714;38797440;4037984;1044890;3.0;1.0;4.0;14.0
natario1/CameraView;https://github.com/natario1/CameraView;Java;18/07/2017 09:30;3;3700;40;34068913;38838711;4043565;1046146;3.0;1.0;2.0;11.0
Piasy/BigImageViewer;https://github.com/Piasy/BigImageViewer;Java;06/11/2016 09:55;4;3696;0;34075357;38846532;4044622;1046497;3.0;1.0;2.0;10.0
timehop/sticky-headers-recyclerview;https://github.com/timehop/sticky-headers-recyclerview;Java;03/10/2014 01:57;6;3684;0;34078080;38849918;4045042;1046752;2.0;1.0;2.0;8.0
mapstruct/mapstruct;https://github.com/mapstruct/mapstruct;Java;28/05/2012 12:42;8;3684;19;34212923;39012502;4072445;1048260;2.0;1.0;2.0;9.0
luckybilly/CC;https://github.com/luckybilly/CC;Java;23/11/2017 16:26;3;3679;0;34223188;39024692;4073926;1048761;4.0;1.0;3.0;15.0
Freeyourgadget/Gadgetbridge;https://github.com/Freeyourgadget/Gadgetbridge;Java;05/01/2015 23:19;6;3676;0;34398304;39226563;4100137;1049668;4.0;1.0;4.0;20.0
