Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
Javen205/IJPay;https://github.com/Javen205/IJPay;Java;02/05/2017 03:15;3;2873;23;17565312;19522614;1722813;347202;5.0;1.0;1.5;18.5
Red5/red5-server;https://github.com/Red5/red5-server;Java;19/11/2013 05:04;7;2872;44;17590620;19551783;1726179;347887;4.0;1.0;6.0;24.0
geftimov/android-pathview;https://github.com/geftimov/android-pathview;Java;20/01/2015 15:21;6;2870;2;17593987;19556022;1726690;348257;5.0;1.0;2.5;12.0
googlesamples/android-vision;https://github.com/googlesamples/android-vision;Java;01/07/2015 21:40;5;2869;0;17608708;19573735;1728973;349239;3.0;1.0;4.0;16.0
zaaach/CityPicker;https://github.com/zaaach/CityPicker;Java;27/02/2016 09:11;5;2864;1;17610843;19576535;1729278;349623;2.0;1.0;2.0;9.0
Polidea/RxAndroidBle;https://github.com/Polidea/RxAndroidBle;Java;04/02/2016 13:42;5;2864;43;17640833;19613046;1735350;350300;3.0;1.0;2.0;9.0
donglua/PhotoPicker;https://github.com/donglua/PhotoPicker;Java;25/06/2015 16:53;5;2860;13;17645207;19618698;1736278;350672;3.0;1.0;3.5;17.0
anggrayudi/android-hidden-api;https://github.com/anggrayudi/android-hidden-api;Java;16/09/2015 11:58;5;2856;1;17647571;19621870;1736697;351092;8.5;1.0;30.5;138.0
andOTP/andOTP;https://github.com/andOTP/andOTP;Java;05/07/2017 11:39;3;2856;34;17677892;19655512;1739628;351639;3.0;1.0;3.0;12.5
immutables/immutables;https://github.com/immutables/immutables;Java;07/07/2013 13:48;7;2854;6;17783495;19780827;1758929;352447;3.0;1.0;2.0;8.0
aragozin/jvm-tools;https://github.com/aragozin/jvm-tools;Java;28/04/2012 09:28;8;2851;0;17822343;19826940;1765721;353013;3.0;1.0;4.0;21.0
JavaNoober/BackgroundLibrary;https://github.com/JavaNoober/BackgroundLibrary;Java;09/09/2018 08:52;2;2851;5;17827310;19833134;1766521;353460;4.0;1.0;4.0;16.0
