Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
android/testing-samples;https://github.com/android/testing-samples;Java;11/10/14 03:51:27;6;7919;0;82671557;93854927;9864413;2464178;6.0;1.0;3.0;19.0
Justson/AgentWeb;https://github.com/Justson/AgentWeb;Java;12/05/17 07:45:56;3;7904;11;82687294;93873680;9867098;2464582;3.0;1.0;3.0;12.0
alibaba/atlas;https://github.com/alibaba/atlas;Java;28/02/17 06:31:43;4;7902;7;83541548;94915530;9998409;2522742;4.0;1.0;5.0;22.0
DuGuQiuBai/Java;https://github.com/DuGuQiuBai/Java;Java;25/11/15 07:30:08;5;7902;0;83552035;94927080;9999265;2522954;1.0;1.0;2.0;11.0
dropwizard/dropwizard;https://github.com/dropwizard/dropwizard;Java;19/01/11 19:52:29;10;7901;104;83632053;95022807;10014258;2524298;5.0;1.0;3.0;14.0
HannahMitt/HomeMirror;https://github.com/HannahMitt/HomeMirror;Java;23/08/15 03:20:08;5;7893;0;83635754;95027439;10014946;2524548;2.0;1.0;2.0;11.5
stanfordnlp/CoreNLP;https://github.com/stanfordnlp/CoreNLP;Java;27/06/13 21:13:49;7;7858;2;85831299;97307560;10095896;2532495;4.0;1.0;5.0;26.0
TooTallNate/Java-WebSocket;https://github.com/TooTallNate/Java-WebSocket;Java;20/01/10 23:33:04;11;7824;12;85865948;97345630;10099078;2532887;2.0;1.0;4.0;19.0
ybq/Android-SpinKit;https://github.com/ybq/Android-SpinKit;Java;20/03/16 08:40:51;4;7782;0;85869433;97350116;10099813;2533171;5.0;2.0;3.0;11.0
facebook/buck;https://github.com/facebook/buck;Java;17/04/13 18:12:18;7;7780;56;87102914;98774222;10268921;2558734;5.0;1.0;4.0;17.0
cats-oss/android-gpuimage;https://github.com/cats-oss/android-gpuimage;Java;04/10/12 08:11:58;8;7771;0;87116123;98789484;10270659;2559127;2.0;2.0;4.0;16.0
Netflix/SimianArmy;https://github.com/Netflix/SimianArmy;Java;06/07/12 22:00:05;8;7742;4;87145893;98824067;10274930;2559709;4.0;1.0;6.0;26.0
amitshekhariitbhu/Android-Debug-Database;https://github.com/amitshekhariitbhu/Android-Debug-Database;Java;16/11/16 14:20:24;4;7735;12;87152840;98832694;10276244;2560101;4.0;1.0;4.0;11.0
ChrisRM/material-theme-jetbrains;https://github.com/ChrisRM/material-theme-jetbrains;Java;23/09/15 07:15:04;5;7719;17;87254536;98939849;10281068;2560874;3.0;2.0;3.0;12.0
asLody/VirtualApp;https://github.com/asLody/VirtualApp;Java;06/07/16 13:25:23;4;7627;0;87328236;99030084;10294907;2563760;2.0;2.0;2.0;8.0
trello/RxLifecycle;https://github.com/trello/RxLifecycle;Java;20/07/15 13:32:23;5;7606;22;87334232;99037674;10296227;2564088;6.0;1.0;4.0;25.5
JakeWharton/hugo;https://github.com/JakeWharton/hugo;Java;25/11/13 09:16:40;7;7581;0;87335729;99039690;10296546;2564299;7.0;1.0;8.0;59.0
Activiti/Activiti;https://github.com/Activiti/Activiti;Java;13/09/12 11:34:43;8;7559;24;87673796;99444954;10361915;2567483;5.0;1.0;4.0;19.0
firebase/quickstart-android;https://github.com/firebase/quickstart-android;Java;26/04/16 17:13:27;4;7553;0;87708725;99487325;10367936;2569113;3.0;1.0;2.0;12.0
guolindev/LitePal;https://github.com/guolindev/LitePal;Java;20/02/13 03:20:07;8;7551;0;87738724;99520753;10371071;2569620;3.0;1.0;3.0;17.0
crossoverJie/cim;https://github.com/crossoverJie/cim;Java;20/05/18 15:55:56;2;7518;7;87749113;99533800;10373438;2569925;3.0;1.0;3.0;15.0
hs-web/hsweb-framework;https://github.com/hs-web/hsweb-framework;Java;18/01/16 03:51:39;5;7510;20;87778113;99569325;10379620;2570364;4.0;1.0;2.0;11.0
