Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
chentao0707/SimplifyReader;https://github.com/chentao0707/SimplifyReader;Java;17/08/2015 08:22;5;4575;0;8254765;9462432;966497;308879;2.0;1.0;3.0;13.0
danielzeller/Depth-LIB-Android-;https://github.com/danielzeller/Depth-LIB-Android-;Java;27/04/2016 09:37;4;4571;0;8260370;9469596;967700;309266;2.0;1.0;2.0;6.0
intuit/karate;https://github.com/intuit/karate;Java;07/02/2017 15:59;4;4562;35;8330836;9553616;978901;312010;4.0;1.0;3.5;17.0
ZXZxin/ZXBlog;https://github.com/ZXZxin/ZXBlog;Java;02/02/2019 06:36;2;4561;0;8332345;9555788;979269;312310;1.0;1.0;1.0;8.0
danikula/AndroidVideoCache;https://github.com/danikula/AndroidVideoCache;Java;01/04/2015 11:25;5;4558;20;8337762;9562595;980334;312666;3.0;1.0;4.0;18.0
hibernate/hibernate-orm;https://github.com/hibernate/hibernate-orm;Java;04/10/2010 16:15;10;4552;16;9404682;10817959;1165176;319309;5.0;1.0;4.0;20.0
wdullaer/MaterialDateTimePicker;https://github.com/wdullaer/MaterialDateTimePicker;Java;03/01/2015 19:41;6;4537;54;9419280;10835366;1167582;319769;5.0;1.0;7.0;31.0
SplashCodes/JAViewer;https://github.com/SplashCodes/JAViewer;Java;21/05/2016 08:47;4;4536;10;9424864;10842399;1168697;320125;4.0;1.0;2.0;15.0
JakeWharton/NineOldAndroids;https://github.com/JakeWharton/NineOldAndroids;Java;08/12/2011 19:46;9;4522;0;9436995;10856282;1170142;320520;2.0;1.0;2.0;11.0
MinecraftForge/MinecraftForge;https://github.com/MinecraftForge/MinecraftForge;Java;30/01/2012 01:35;9;4512;0;9565825;11000019;1184196;321937;5.0;1.0;4.0;19.0
jdamcd/android-crop;https://github.com/jdamcd/android-crop;Java;13/03/2014 10:24;7;4491;6;9568833;11003988;1184839;322272;1.0;1.0;2.0;10.0
facebook/shimmer-android;https://github.com/facebook/shimmer-android;Java;27/02/2015 22:25;6;4488;5;9571218;11007077;1185220;322607;9.0;2.0;12.0;115.0
Flipboard/bottomsheet;https://github.com/Flipboard/bottomsheet;Java;23/04/2015 17:37;5;4484;10;9575596;11012569;1185974;323017;3.0;1.0;1.0;7.0
junit-team/junit5;https://github.com/junit-team/junit5;Java;11/01/2015 19:06;6;4482;49;9707870;11170269;1210625;325895;3.0;1.0;2.0;10.0
google/google-authenticator;https://github.com/google/google-authenticator;Java;08/10/2014 17:54;6;4470;0;9724707;11189063;1212171;327922;2.0;1.0;4.0;18.0
zhanghai/Douya;https://github.com/zhanghai/Douya;Java;01/02/2016 13:44;5;4460;11;9793684;11272081;1225841;328634;4.0;1.0;4.0;15.0
debezium/debezium;https://github.com/debezium/debezium;Java;22/01/2016 20:17;5;4458;0;10019758;11538328;1262232;334123;4.0;1.0;6.0;27.0
youlookwhat/CloudReader;https://github.com/youlookwhat/CloudReader;Java;20/11/2016 11:59;4;4458;23;10025344;11545351;1263317;334489;3.0;1.0;3.0;17.0
ffay/lanproxy;https://github.com/ffay/lanproxy;Java;20/11/2016 08:12;4;4444;1;10029686;11550819;1264134;334856;3.0;1.0;3.0;23.0
square/android-times-square;https://github.com/square/android-times-square;Java;30/01/2013 20:28;8;4431;0;10034281;11556539;1264944;335238;4.0;1.0;1.0;8.0
kyleduo/SwitchButton;https://github.com/kyleduo/SwitchButton;Java;09/09/2014 07:20;6;4427;0;10038022;11561209;1265516;335623;2.0;1.0;2.0;9.0
romandanylyk/PageIndicatorView;https://github.com/romandanylyk/PageIndicatorView;Java;20/08/2016 19:25;4;4423;14;10043351;11568297;1266885;336104;4.0;1.0;6.0;26.5
btraceio/btrace;https://github.com/btraceio/btrace;Java;28/08/2014 18:58;6;4414;26;10043780;11569116;1266992;336392;nan;nan;nan;nan
huangyanbin/smartTable;https://github.com/huangyanbin/smartTable;Java;08/11/2017 01:11;3;4408;44;10048651;11575265;1267933;336834;2.0;1.0;3.0;11.0
nisrulz/android-tips-tricks;https://github.com/nisrulz/android-tips-tricks;Java;25/08/2016 20:27;4;4394;0;10050097;11577617;1268393;337297;1.0;1.0;6.0;22.0
HotBitmapGG/bilibili-android-client;https://github.com/HotBitmapGG/bilibili-android-client;Java;01/06/2016 04:36;4;4381;1;10068734;11601163;1272958;337761;3.0;1.0;6.0;30.0
